dataset,tau,n_cliques,n_with_types,hard_mean,hard_median,hard_perfect,soft_mean,soft_median
fb15k237,0.45,569,569,0.987,1.0,0.97,0.834,1.0
fb15k237,0.5,220,220,0.986,1.0,0.968,0.852,1.0
fb15k237,0.55,74,74,0.98,1.0,0.959,0.878,1.0
fb15k237,0.6,33,33,0.985,1.0,0.97,0.897,1.0
fb15k237,0.65,13,13,1.0,1.0,1.0,0.923,1.0
yago310,0.45,3513,3513,0.91,1.0,0.789,0.864,1.0
yago310,0.5,2222,2222,0.925,1.0,0.831,0.888,1.0
yago310,0.55,1597,1597,0.91,1.0,0.804,0.863,1.0
yago310,0.6,906,906,0.92,1.0,0.832,0.873,1.0
yago310,0.65,674,674,0.933,1.0,0.861,0.842,1.0
