K,avg_lexical_domain_purity,avg_purity_mapped,elapsed_s,method,n_active,n_mapped,n_perfect,n_total,perfect_lexical_domain_ratio,perfect_ratio_mapped,tau,total_assign,ustar
1000,0.1967,0.1967,99.77053928375244,MMSB,19876,1000,0,1000,0.0,0.0,0.45,123182,0.01
1000,0.2176,0.2176,99.77053928375244,MMSB,19876,1000,3,1000,0.003,0.003,0.45,109937,0.02
1000,0.3393,0.3393,99.77053928375244,MMSB,19876,997,41,1000,0.0411,0.0411,0.45,66919,0.05
1000,0.4767,0.4767,99.77053928375244,MMSB,19876,988,110,1000,0.1113,0.1113,0.45,35578,0.1
1000,0.545,0.545,99.77053928375244,MMSB,19876,981,143,1000,0.1458,0.1458,0.45,21031,0.2
1000,0.4176,0.4176,40.87718391418457,MMSB,9370,929,120,1000,0.1292,0.1292,0.5,23673,0.01
1000,0.4465,0.4465,40.87718391418457,MMSB,9370,924,129,1000,0.1396,0.1396,0.5,20183,0.02
1000,0.4918,0.4918,40.87718391418457,MMSB,9370,904,151,1000,0.167,0.167,0.5,16190,0.05
1000,0.5411,0.5411,40.87718391418457,MMSB,9370,878,183,1000,0.2084,0.2084,0.5,13418,0.1
1000,0.597,0.597,40.87718391418457,MMSB,9370,840,238,1000,0.2833,0.2833,0.5,11092,0.2
1000,0.4904,0.4904,14.242138147354126,MMSB,3370,888,89,1000,0.1002,0.1002,0.55,7504,0.01
1000,0.536,0.536,14.242138147354126,MMSB,3370,841,117,1000,0.1391,0.1391,0.55,6284,0.02
1000,0.5916,0.5916,14.242138147354126,MMSB,3370,764,151,1000,0.1976,0.1976,0.55,4878,0.05
1000,0.6347,0.6347,14.242138147354126,MMSB,3370,704,180,1000,0.2557,0.2557,0.55,4137,0.1
1000,0.6686,0.6686,14.242138147354126,MMSB,3370,634,194,1000,0.306,0.306,0.55,3599,0.2
