tau,louvain_seed,n_components,largest_component,n_cliques_extracted,n_louvain_communities,wall_s
0.45,0,7625,29921,2914,7736,7.71
0.45,1,7625,29921,2914,7732,8.63
0.45,2,7625,29921,2914,7733,8.62
0.45,3,7625,29921,2914,7740,7.53
0.45,4,7625,29921,2914,7735,7.73
0.5,0,18342,11698,10242,18419,6.6
0.5,1,18342,11698,10242,18421,7.51
0.5,2,18342,11698,10242,18420,7.8
0.5,3,18342,11698,10242,18421,7.09
0.5,4,18342,11698,10242,18420,6.96
0.55,0,27505,244,12365,27507,5.88
0.55,1,27505,244,12365,27506,6.94
0.55,2,27505,244,12365,27507,6.01
0.55,3,27505,244,12365,27507,5.92
0.55,4,27505,244,12365,27506,5.81
